question_id,concept_1,concept_1_desc,concept_2,concept_2_desc,concept_3,concept_3_desc
13-383,Orbital resonance and clearing the neighborhood,The gravitational interaction and orbital dynamics required for a celestial body to be classified as a planet.,Kepler's laws of planetary motion,The relationship between a planet's orbital period and its distance from the sun.,Definition of a planet,The basic criteria established by the IAU for a body to be considered a planet in our solar system.
9-97,Electrical circuit continuity,"The requirement for a continuous, closed loop of conductive material for electric current to flow and power a device.",Energy transfer in systems,The principle that energy must be supplied to a system through a connection to perform work or operate.,Function of electrical outlets,Basic understanding that wall outlets serve as a source of electrical power for household appliances.
14-619,Ecological mutualism,"The biological interaction where different species provide benefits to one another, such as pollination.",Pollination biology,The process by which pollinators like butterflies are attracted to flowers to facilitate plant reproduction.,Biological resource needs,The basic understanding that organisms seek out specific environments or food sources to survive.
10-729,Mutualism in ecosystems,"The ecological interaction where different species provide benefits to one another, such as food for pollination.",Pollination mechanisms,The biological process by which pollen is transferred from the male part of a plant to the female part to enable fertilization.,Biological classification of organisms,"The distinction between living organisms (animals, plants) and non-living environmental factors."
8-8,Electromechanical energy conversion,The process by which electrical energy is converted into mechanical motion using electromagnetic fields.,Electric motor function,The principle that electric motors use electrical power to create rotational mechanical force to perform work.,Power sources for appliances,The distinction between devices that require a direct connection to an electrical grid versus those powered by internal batteries.
11-692,Circulatory system anatomy,The physiological structure of blood vessels and the mechanics of blood flow through the body.,Biological transport systems,The concept that organisms require specialized pathways to move nutrients and fluids to different tissues.,Physical containment,The basic principle that fluids or objects require a physical structure or path to be directed or contained.
12-951,Botanical morphology,"The study of the physical form and external structure of plants, specifically the specialized functions of root systems.",Plant anatomy,The general understanding of the different parts of a plant and their biological roles in survival and growth.,Basic biology,The fundamental recognition that living organisms have specific structures adapted to their environment.
13-130,Reflection and light propagation,Light travels in straight lines and can be redirected by reflective surfaces like mirrors.,Electrical circuits and power sources,A light bulb requires a closed circuit connected to a power source to emit light.,Basic properties of light,Light is an energy source that illuminates an area and can be manipulated by physical objects.
12-1174,Trophic levels and food webs,Understanding the flow of energy and nutrients through an ecosystem from producers to consumers.,Biological nutrient requirements,The necessity for living organisms to consume organic matter to sustain life processes.,Living vs. non-living things,Distinguishing between organisms that require sustenance and inanimate objects or substances.
10-956,Mammalian reproductive strategies,"Understanding the biological classification of mammals, specifically regarding live birth and lactation.",Parental investment in animals,The concept that different species provide varying levels of care and sustenance to their offspring.,Basic biological life cycles,General knowledge that different animals have different methods of reproduction and early development.
8-267,Anomalous expansion of water,"Water expands upon freezing, increasing in volume while transitioning from liquid to solid state.",Phase change,"The process where matter changes between solid, liquid, and gas states due to temperature changes.",States of matter,"The physical forms that matter can take, specifically solid and liquid."
12-465,Physiological function of organ systems,Understanding the specific biological roles and tissue compositions of major human organs.,Muscular tissue characteristics,"Recognizing that muscle tissue is specialized for contraction and movement, distinguishing it from glandular or neural tissue.",Biological organization,The concept that organs are composed of different types of tissues working together to perform specific functions.
13-261,Trophic levels and dietary niches,"Understanding the ecological classification of organisms as carnivores, herbivores, or omnivores based on their natural food sources.",Marine food webs,The concept that marine ecosystems rely on specific predator-prey relationships between aquatic species.,Biological classification,"Distinguishing between aquatic animals, land animals, and plant matter as potential food sources."
13-384,Electrical resistivity,The intrinsic property of a material to oppose the flow of electric current.,Electrical conductivity,The ability of a material to allow the flow of electric charge.,Electric current,The flow of electric charge through a material.
14-571,Evolutionary adaptation,The process by which species develop traits that increase their chances of survival and reproduction in their environment.,Predator-prey relationships,"The ecological interaction where one organism hunts and consumes another, driving the development of defensive strategies.",Survival basics,The fundamental need for organisms to avoid threats and secure resources to stay alive.
12-923,Phase transition,The process by which a substance changes from a solid state to a liquid state due to thermal energy.,States of matter,"The distinct forms that matter can take, specifically solid (hard/fixed shape) and liquid (pooling/fluid).",Physical properties of objects,"Basic observation of an object's physical characteristics such as hardness, size, and shape."
10-768,Orbital mechanics,Understanding the gravitational interactions and relative positions of celestial bodies in a system.,Planetary illumination,"The process by which planets receive light from a central star, creating day/night cycles and visibility of the cosmos.",Basic astronomy,"Knowledge of the components of a solar system, including stars, planets, and their relative movements."
1388,Horizon distance and curvature,The relationship between an observer's elevation and the distance to the horizon on a spherical body.,Line of sight,The principle that light travels in straight lines and is obstructed by physical features of the terrain.,Topography,The arrangement of the natural and artificial physical features of an area.
10-683,Biological adaptation and survival strategies,Understanding how organisms modify their behaviors to survive seasonal resource scarcity.,Seasonal life cycles,The relationship between environmental changes throughout the year and the life cycles of plants and animals.,The four seasons,"Basic knowledge of the annual cycle of weather and environmental changes (spring, summer, fall, winter)."
14-1509,Cellular autonomy,The ability of a single cell to perform all necessary life functions independently without relying on other specialized cells.,Unicellular organisms,"Organisms that consist of a single cell, as opposed to multicellular organisms which require cell cooperation.",Characteristics of living things,The fundamental biological criteria that distinguish living organisms from non-living matter.
13-286,Homeostasis and thermoregulation,The physiological processes by which organisms maintain a stable internal body temperature despite external environmental changes.,Biological adaptation,The process by which organisms adjust their physical traits or behaviors to better survive in specific environmental conditions.,Function of animal coverings,"Understanding that hair, fur, or feathers serve as insulation to protect animals from temperature extremes."
1873,Ecological niche and trophic strategies,"Understanding how different organisms obtain energy, specifically the distinction between predators and herbivores.",Predatory behavior,The concept that carnivores often require speed and agility to capture mobile prey.,Basic animal classification,Distinguishing between common animals based on their primary diet and lifestyle.
10-218,Biological anatomy of fruit,"Understanding the structural components of angiosperm fruits, specifically the distinction between edible pulp and reproductive seeds.",Categorization of food items,The ability to classify parts of a food item based on their typical consumption status (edible vs. inedible/undesirable).,Basic object identification,Recognizing common household objects and food items by their physical characteristics and names.
11-187,Orbital mechanics and axial tilt,"Understanding that seasons are caused by the Earth's axial tilt relative to its orbit around the sun, resulting in a cyclical annual pattern.",Phenology,"The study of cyclic and seasonal natural phenomena, especially in relation to climate and plant and animal life.",Cyclical time,"The concept that certain events, such as seasons, repeat in a predictable, recurring sequence over time."
10-368,Photosynthesis,The biochemical process by which autotrophs convert light energy into chemical energy.,Chlorophyll function,The role of pigments in capturing specific wavelengths of light for biological energy production.,Autotrophic nutrition,The basic understanding that plants require external energy sources to grow and develop.
7-24,Wave propagation in media,"Sound waves require a physical medium to propagate, with the speed and efficiency of transmission depending on the properties of that medium.",Mechanical waves,"Sound is a mechanical wave created by vibrations that travel through a substance, such as air or wood.",Vibration basics,"Sound is produced by the rapid back-and-forth movement, or vibration, of an object."
7-829,Homeostasis and metabolic demand,The biological requirement for organisms to maintain energy balance through nutrient intake to support physiological functions.,Energy acquisition in ecosystems,The process by which organisms obtain necessary fuel from their environment to survive and avoid starvation.,Basic biological needs,The fundamental requirement for all living things to consume food or nutrients to sustain life.
